_H:	|cur_les_no_group	$cur_lesion_group	%cur_les_pct_group	%con_vis_mean	%con_visem_mean	%con_sem_mean	%con_blend_mean	%con_other_mean	%abs_vis_mean	%abs_visem_mean	%abs_sem_mean	%abs_blend_mean	%abs_other_mean	%con_vis_sem	%con_visem_sem	%con_sem_sem	%con_blend_sem	%con_other_sem	%abs_vis_sem	%abs_visem_sem	%abs_sem_sem	%abs_blend_sem	%abs_other_sem
_D:	7	"SP_HID_DIRECT_FULL"	0.2	2.84	0.16	2.32	3.84	10.36	1.44	0	2.48	1.04	14.32	0.244491	0.0733212	0.313535	0.485568	0.466064	0.188298	0	0.27782	0.256	0.238126
_D:	7	"SP_HID_DIRECT_FULL"	0.3	2.12	0.08	1.16	4.6	11.8	1.48	0	2.88	1.6	13.28	0.142211	0.0542586	0.244491	0.387814	0.35327	0.170833	0	0.331397	0.339411	0.394036
_D:	7	"SP_HID_DIRECT_FULL"	0.4	2.8	0.16	1.68	4.48	10.76	1.16	0.12	2.84	1.28	14.08	0.219089	0.0733212	0.32358	0.463448	0.300826	0.122376	0.0649923	0.323382	0.488328	0.462757
_D:	7	"SP_HID_DIRECT_FULL"	0.5	2.92	0.2	1.28	5.28	10.52	1.52	0.12	2.8	0.92	14.12	0.246057	0.08	0.296756	0.592	0.539985	0.188637	0.0649923	0.339411	0.357413	0.350177
_D:	7	"SP_HID_DIRECT_FULL"	0.6	1.84	0.12	2.12	5.36	10.24	1.28	0.08	0.76	5.04	12.72	0.257247	0.0649923	0.363626	1.1011	0.835761	0.20016	0.0542586	0.27294	1.37344	1.17238
_D:	7	"SP_HID_DIRECT_FULL"	0.7	1.88	0.24	1.68	7	9.32	1.36	0.04	1.04	6.56	10.8	0.27897	0.0854166	0.414613	1.31575	0.954518	0.18659	0.0391918	0.327316	1.63861	1.37055
_D:	7	"SP_HID_DIRECT_FULL"	0.8	2.2	0.2	2.04	5.36	10.32	1.44	0.28	1.2	4.88	12.4	0.334664	0.08	0.478264	1.405	1.14083	0.1796	0.120266	0.344093	1.33185	1.11427
_D:	7	"SP_HID_DIRECT_FULL"	0.9	1.48	0.12	1.68	8	8.6	1.44	0.08	0.76	7.72	9.92	0.289109	0.0649923	0.458589	1.67236	1.34581	0.305051	0.0542586	0.27294	1.76047	1.43546
_D:	7	"SP_HID_DIRECT_FULL"	1	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
_D:	8	"OP_HID_SEMANTICS_FULL"	0.1	5.24	0.32	1.24	0.68	10.24	4.36	0.08	1.36	0.84	9.56	0.457051	0.109105	0.27294	0.146642	0.963792	0.39952	0.0542586	0.210751	0.184868	0.841104
_D:	8	"OP_HID_SEMANTICS_FULL"	0.2	3.72	0.2	1.48	0.64	13.52	2.36	0	1.48	0.68	14.28	0.360089	0.08	0.266053	0.194977	0.548802	0.329266	0	0.2049	0.176363	0.535223
_D:	8	"OP_HID_SEMANTICS_FULL"	0.3	3.2	0.28	1.36	0.28	14.84	2.32	0	1.96	0.2	14.76	0.304631	0.0897998	0.270585	0.106132	0.414459	0.244753	0	0.236508	0.126491	0.449996
_D:	8	"OP_HID_SEMANTICS_FULL"	0.4	2.4	0.24	2.2	0.2	14.84	2.12	0	2.04	0.16	15.04	0.329848	0.0854166	0.366606	0.08	0.418301	0.326533	0	0.274109	0.0733212	0.346318
_D:	8	"OP_HID_SEMANTICS_FULL"	0.5	2.72	0.08	1.28	0.2	15.6	1.28	0.04	2.24	0.24	15.44	0.296756	0.0542586	0.327512	0.126491	0.42332	0.20016	0.0391918	0.27874	0.162776	0.388144
_D:	8	"OP_HID_SEMANTICS_FULL"	0.6	2.12	0.12	1.6	0.08	15.84	1.76	0.08	1.08	0.2	16.56	0.290214	0.0649923	0.370945	0.0542586	0.398718	0.267013	0.0783837	0.218504	0.0979796	0.288888
_D:	8	"OP_HID_SEMANTICS_FULL"	0.7	2.2	0.08	1.48	0.76	15.08	2.08	0.04	1.52	0.8	14.96	0.304631	0.0542586	0.349262	0.405088	0.59308	0.258735	0.0391918	0.23406	0.40398	0.454242
_D:	8	"OP_HID_SEMANTICS_FULL"	0.8	2	0.2	2.72	0.72	14.28	2.08	0.08	1.36	0.68	15.36	0.293939	0.08	0.552869	0.447285	0.613241	0.211054	0.0542586	0.32437	0.468939	0.486226
_D:	8	"OP_HID_SEMANTICS_FULL"	0.9	1.92	0.16	2.44	1.36	14	1.64	0.04	1.52	1.24	15.16	0.28239	0.0733212	0.565912	0.827295	0.80796	0.16857	0.0391918	0.442249	0.808515	0.807327
_D:	8	"OP_HID_SEMANTICS_FULL"	1	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
